,nal_number,client_name,client_address,sample_delivery_group,date_received,time_received,project_contact,sampler_contact,client_sample_id,nal_sample_id,date_sampled,time_sampled,sample_type,sample_location,plant_type,variety,growth_stage,vigor,new_old,nitrogen_conversion_efficiency,sap_aluminum,sap_boron,sap_brix,sap_calcium,sap_chloride,sap_cobalt,sap_copper,sap_ec,sap_iron,sap_kcaratio,sap_magnesium,sap_manganese,sap_molybdenum,sap_nickel,sap_nitrogen_as_ammonium,sap_nitrogen_as_nitrate,sap_ph,sap_phosphorous,sap_potassium,sap_selenium,sap_silica,sap_sodium,sap_sulfur,sap_total_nitrogen,sap_total_sugar,sap_zinc
0,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007197,05-10-2022,09:35,Sap,Flower 1-9,CANNABIS,PJ,MOM-VEG,,New,68.1,0.033,5.72,2.4,1370.0,663.0,< 0.01,0.468,11.3,0.524,4.78,724.0,3.12,< 0.01,0.242,9.21,386.0,6.7,139.0,6550.0,< 0.01,27.3,19.5,667.0,1240.0,0.188,3.05
1,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007198,05-10-2022,09:35,Sap,Flower 1-9,CANNABIS,PJ,MOM-VEG,,Old,79.3,0.068,6.33,4.6,1470.0,978.0,0.021,0.547,21.0,0.669,4.97,768.0,3.41,0.076,0.269,41.7,535.0,6.96,147.0,7310.0,0.027,28.7,21.2,714.0,2790.0,0.1,3.17
2,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PG,t007199,05-10-2022,09:40,Sap,Flower 1-9,CANNABIS,PG,MOM-VEG,,New,74.5,0.032,3.93,3.0,988.0,711.0,< 0.01,0.145,13.3,0.707,3.71,501.0,2.56,< 0.01,0.082,18.2,351.0,6.95,153.0,3670.0,< 0.01,17.1,10.6,281.0,1450.0,0.189,2.21
3,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PG,t007200,05-10-2022,09:40,Sap,Flower 1-9,CANNABIS,PG,MOM-VEG,,Old,81.3,0.051,6.04,4.0,1080.0,1220.0,0.016,0.269,15.2,0.976,3.76,783.0,2.99,0.099,0.164,39.7,375.0,6.77,174.0,4060.0,< 0.01,15.9,17.5,459.0,2220.0,0.124,3.03
4,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PBB,t007201,05-10-2022,10:00,Sap,Flower 1-9,CANNABIS,PBB,MOM-VEG,,New,58.4,0.02,2.74,2.7,838.0,313.0,< 0.01,0.082,12.6,0.287,4.45,379.0,1.6,< 0.01,0.249,19.5,534.0,6.83,142.0,3730.0,< 0.01,19.2,13.9,192.0,1330.0,0.195,1.08
5,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PBB,t007202,05-10-2022,10:00,Sap,Flower 1-9,CANNABIS,PBB,MOM-VEG,,Old,77.8,0.047,3.54,3.7,960.0,689.0,< 0.01,0.166,17.7,0.313,4.9,535.0,1.66,< 0.01,0.071,31.1,477.0,6.63,165.0,4700.0,0.059,18.7,13.3,296.0,2290.0,0.136,1.47
6,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OG,t007203,05-10-2022,10:30,Sap,Flower 1-9,CANNABIS,OG,MOM-VEG,,New,88.8,0.019,2.1,3.2,640.0,586.0,< 0.01,0.061,14.8,0.525,5.28,372.0,1.99,< 0.01,0.178,34.9,182.0,7.0,109.0,3380.0,0.061,9.54,8.67,166.0,1940.0,0.161,1.49
7,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OG,t007204,05-10-2022,10:30,Sap,Flower 1-9,CANNABIS,OG,MOM-VEG,,Old,85.9,0.055,4.15,3.7,1310.0,697.0,< 0.01,0.233,16.7,0.654,4.47,766.0,3.57,< 0.01,0.167,58.2,272.0,6.96,202.0,5850.0,0.031,18.2,19.3,418.0,2340.0,0.129,3.63
8,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007205,05-10-2022,10:35,Sap,Flower 1-9,CANNABIS,OD,MOM-VEG,,New,84.0,0.036,5.04,4.1,1270.0,666.0,< 0.01,0.165,12.9,0.662,3.61,684.0,2.49,< 0.01,0.094,46.4,240.0,6.72,155.0,4580.0,< 0.01,24.6,9.57,287.0,1790.0,0.162,2.35
9,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007206,05-10-2022,10:35,Sap,Flower 1-9,CANNABIS,OD,MOM-VEG,,Old,85.4,0.073,5.07,4.9,1770.0,344.0,< 0.01,0.474,19.7,0.621,3.66,829.0,3.14,< 0.01,0.143,41.8,426.0,6.83,142.0,6480.0,< 0.01,28.7,19.2,543.0,3200.0,0.0722,3.65
